"","carat","cut","color","clarity","depth","table","price","x","y","z"
"45127",0.51,"Ideal","G","VS1",62.3,53.5,1652,5.09,5.14,3.19
"5101",1.01,"Good","J","SI2",59.5,62,3756,6.42,6.46,3.83
"11545",1.22,"Very Good","J","SI1",62.2,59,5029,6.77,6.8,4.22
"4693",0.63,"Premium","E","VS1",60.5,57,3675,5.58,5.53,3.36
"8235",1.12,"Very Good","H","SI2",62.5,58,4373,6.58,6.63,4.13
"14501",1.36,"Premium","I","SI2",62.7,58,5856,7.01,7.08,4.42
"4970",1.13,"Premium","I","SI2",62.1,60,3734,6.74,6.66,4.16
"39081",0.38,"Ideal","D","VVS2",60.3,57,1060,4.77,4.71,2.86
"14396",0.3,"Good","H","VVS2",63.4,57,605,4.21,4.24,2.68
"24728",1.51,"Very Good","G","VS2",64,56,13068,7.22,7.3,4.65
"24815",2.01,"Ideal","F","SI2",62.9,56,13201,8.05,7.9,5.02
"1482",0.82,"Ideal","I","VS1",61.6,57,2986,6,6.05,3.71
"26594",1.74,"Ideal","G","VS2",61.7,56,16316,7.72,7.68,4.75
"37131",0.37,"Premium","E","VVS2",59.6,60,971,4.75,4.68,2.81
"30037",0.39,"Very Good","J","VVS1",62.5,58,718,4.61,4.67,2.9
"46044",0.56,"Ideal","F","VS2",62.3,55,1729,5.32,5.28,3.3
"48138",0.7,"Very Good","F","SI2",60.9,58,1940,5.7,5.77,3.49
"50905",0.72,"Ideal","G","SI1",62,56,2318,5.75,5.71,3.55
"16083",1,"Ideal","F","VS2",61.7,58,6424,6.37,6.43,3.95
"6663",1.03,"Good","F","SI2",57.7,63,4095,6.68,6.64,3.84
"52665",0.77,"Good","G","SI2",63.9,59,2550,5.84,5.78,3.71
"10627",1,"Very Good","H","SI1",62.2,59,4830,6.32,6.35,3.94
"39938",0.24,"Very Good","E","VVS1",63.5,57,492,3.94,3.96,2.51
"26355",0.32,"Premium","F","VS2",61.3,60,645,4.37,4.4,2.69
"44155",0.58,"Good","D","SI2",56.7,60,1563,5.59,5.53,3.15
"15465",1.2,"Very Good","I","VS1",62.6,59,6192,6.69,6.73,4.2
"11344",1.01,"Premium","I","VVS1",62,59,4989,6.39,6.32,3.94
"37997",0.43,"Ideal","G","VS1",61.9,55,1008,4.86,4.84,3
"31162",0.41,"Good","F","SI1",63.9,56,755,4.68,4.74,3.01
"21946",1.21,"Premium","F","VS1",62.6,59,10018,6.81,6.76,4.25
"34629",0.31,"Ideal","E","VS2",60.8,54,872,4.4,4.39,2.67
"1774",0.75,"Very Good","D","SI1",61.8,57,3048,5.78,5.81,3.58
"49368",0.7,"Ideal","E","SI2",62.9,56,2100,5.66,5.6,3.54
"2519",0.84,"Ideal","I","VS1",61.4,57,3201,6.03,6.09,3.72
"43957",0.31,"Ideal","F","SI1",60.5,57,516,4.4,4.43,2.67
"13280",1.14,"Good","H","SI1",62.8,58,5487,6.62,6.67,4.17
"26079",2.04,"Ideal","I","SI1",60,60,15308,8.3,8.26,4.97
"7878",0.91,"Good","H","VS2",59.9,61,4309,6.18,6.24,3.72
"39417",0.41,"Premium","F","VS1",61.2,57,1076,4.8,4.77,2.93
"45048",0.5,"Ideal","I","VVS2",60.5,57,1640,5.14,5.17,3.12
"2717",0.3,"Ideal","E","SI1",61.9,57,564,4.29,4.32,2.66
"6472",0.91,"Very Good","F","SI2",60.9,58,4054,6.28,6.2,3.8
"5772",0.91,"Ideal","E","SI2",60.8,56,3898,6.29,6.25,3.81
"26057",2.13,"Ideal","J","VS2",62.1,55,15258,8.23,8.29,5.13
"19907",1.09,"Premium","G","VVS2",59.5,61,8454,6.74,6.7,4
"48146",0.7,"Ideal","J","VS2",61.6,56,1940,5.71,5.65,3.5
"32236",0.31,"Ideal","G","VVS1",62.6,53,789,4.37,4.38,2.74
"40158",0.35,"Ideal","G","IF",61.8,55,1116,4.56,4.54,2.81
"28587",0.3,"Ideal","G","VS2",62.3,56,675,4.3,4.27,2.67
"24416",1.51,"Premium","E","SI1",58.6,62,12655,7.58,7.53,4.43
"6447",1.01,"Fair","G","SI2",58.3,62,4047,6.46,6.5,3.78
"14943",1.2,"Very Good","H","SI1",62.9,56,6019,6.74,6.8,4.26
"37831",0.33,"Ideal","D","VS2",61.8,56,1002,4.48,4.45,2.76
"1784",0.83,"Ideal","E","SI2",61.9,53,3049,6.08,6.04,3.75
"13442",1.06,"Premium","H","VS2",60.7,59,5520,6.61,6.57,4
"14734",1.15,"Very Good","D","SI1",61.7,58,5932,6.69,6.76,4.15
"19491",1,"Premium","D","VS1",59.7,60,8124,6.45,6.42,3.84
"15683",0.9,"Very Good","E","VVS2",62.2,60,6289,6.04,6.12,3.78
"46209",0.51,"Ideal","G","VVS2",61.6,56,1750,5.12,5.14,3.16
"10535",1,"Premium","E","SI1",62.8,59,4805,6.4,6.3,3.99
"28790",0.37,"Very Good","D","SI1",61,62,681,4.61,4.64,2.82
"2235",0.71,"Very Good","F","VS2",63.3,57,3146,5.65,5.69,3.59
"33540",0.35,"Premium","E","VS1",60.8,58,829,4.55,4.58,2.78
"23247",1.51,"Ideal","G","SI1",62.9,57,11255,7.3,7.27,4.58
"19666",1.2,"Ideal","H","VS1",61.6,57,8275,6.82,6.85,4.21
"27927",0.38,"Premium","J","SI1",61.3,59,658,4.68,4.62,2.85
"23908",2.12,"Very Good","J","SI2",62.3,61,12030,8.16,8.21,5.1
"28605",0.3,"Premium","E","SI1",60.6,56,675,4.37,4.35,2.64
"43055",0.57,"Ideal","F","SI2",61.9,58,1376,5.34,5.32,3.3
"29245",0.34,"Ideal","E","VS2",61.8,57,696,4.48,4.52,2.78
"15504",1.5,"Fair","I","SI2",68.1,59,6209,7.12,6.84,4.75
"16932",1.29,"Ideal","H","SI1",63.2,57,6760,6.89,6.96,4.38
"28987",0.41,"Ideal","I","VS1",61.9,55,685,4.78,4.82,2.97
"30252",0.26,"Good","D","VVS2",63.6,56,724,4.09,4.06,2.59
"31160",0.41,"Very Good","F","SI1",62.9,56,755,4.71,4.73,2.97
"9632",1.21,"Fair","G","SI1",64.5,56,4637,6.69,6.62,4.29
"53513",0.71,"Ideal","F","VS2",62.8,56,2686,5.66,5.61,3.54
"10112",0.9,"Good","D","VS2",57.7,61,4717,6.34,6.32,3.65
"13142",1.22,"Premium","G","SI2",58.3,61,5436,7,6.92,4.06
"31026",0.31,"Premium","F","VS2",58.3,61,749,4.48,4.44,2.6
"23578",1.5,"Premium","F","SI1",61.4,59,11588,7.34,7.31,4.5
"10288",1.08,"Ideal","I","SI1",60.3,60,4757,6.67,6.62,4.01
"8993",1.22,"Premium","J","SI2",62.1,59,4509,6.82,6.77,4.22
"36265",0.37,"Ideal","H","IF",61.8,55,936,4.65,4.67,2.88
"14532",1.21,"Very Good","I","VS1",61.2,58,5866,6.85,6.91,4.21
"51599",0.7,"Good","I","VVS2",63.3,55,2394,5.61,5.67,3.57
"24179",1.76,"Very Good","H","SI1",62.6,58,12361,7.7,7.66,4.81
"20181",1.6,"Premium","I","SI2",60.8,58,8630,7.59,7.51,4.59
"19389",1.09,"Premium","F","VS1",60.9,58,8057,6.63,6.67,4.05
"42406",0.57,"Very Good","H","SI1",63.1,54,1309,5.3,5.28,3.34
"8370",0.97,"Premium","G","SI1",62.6,58,4400,6.24,6.18,3.89
"18081",1.01,"Very Good","E","VS1",62.6,57,7306,6.28,6.37,3.96
"18201",1.52,"Ideal","H","SI2",62.3,56,7388,7.34,7.24,4.54
"38877",0.4,"Premium","D","VS2",60.5,59,1050,4.8,4.76,2.89
"19229",1.05,"Ideal","D","VS2",61.7,59,7965,6.5,6.53,4.02
"19660",1.04,"Ideal","G","VVS1",62.5,55,8268,6.54,6.45,4.06
"52258",0.52,"Ideal","F","VVS2",60.9,56,2489,5.19,5.23,3.17
"17135",1.26,"Ideal","H","SI1",61,56,6837,7.04,7,4.28
"20386",0.31,"Premium","G","VS1",59.5,59,625,4.4,4.47,2.64
"49515",0.5,"Very Good","F","VVS1",61.1,55,2122,5.14,5.18,3.15
"4709",0.9,"Ideal","F","SI2",62.3,57,3679,6.19,6.17,3.85
"27639",3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62
"9045",0.3,"Ideal","F","VS1",61.5,55,587,4.33,4.35,2.67
"53797",0.72,"Ideal","E","SI1",62.6,57,2731,5.69,5.74,3.58
"46575",0.56,"Ideal","E","SI1",62.8,58,1784,5.31,5.26,3.32
"35985",0.35,"Ideal","H","IF",61.9,55,921,4.51,4.54,2.8
"48127",0.54,"Ideal","E","VS1",61,56,1939,5.24,5.35,3.23
"41185",0.4,"Ideal","D","VS1",59.9,57,1200,4.82,4.77,2.87
"15403",1.02,"Ideal","G","VS2",62.8,57,6169,6.46,6.41,4.04
"25299",2.08,"Good","I","SI2",63.8,58,13956,8.02,8.1,5.14
"28194",0.4,"Ideal","H","SI1",62,56,666,4.68,4.74,2.92
"27682",2.22,"Premium","J","VS1",60,60,18706,8.49,8.43,5.08
"35704",0.3,"Ideal","D","VS2",61.4,54,911,4.34,4.33,2.66
"1694",0.7,"Good","D","VS2",63.9,58,3033,5.62,5.58,3.58
"42789",0.54,"Ideal","G","SI1",62.4,56,1350,5.2,5.22,3.25
"49016",0.5,"Premium","F","VVS2",61.9,58,2052,5.07,5.1,3.15
"46611",0.9,"Fair","I","I1",67.2,60,1786,5.96,5.88,3.98
"46622",0.3,"Very Good","G","VS2",62.2,60,526,4.24,4.25,2.64
"32454",0.36,"Very Good","D","VS1",62.8,55,793,4.52,4.55,2.85
"31813",0.43,"Good","D","SI1",63.4,55,774,4.78,4.84,3.05
"8713",0.23,"Ideal","E","VS1",61.5,54,586,3.96,3.97,2.44
"9843",1.02,"Ideal","E","SI1",61.1,56,4675,6.51,6.45,3.96
"45851",0.55,"Ideal","G","VS2",61.8,55,1715,5.25,5.3,3.26
"18101",1.52,"Very Good","F","SI2",63.1,60,7320,7.25,7.21,4.56
"9501",1.13,"Premium","I","VS2",62,58,4611,6.64,6.69,4.13
"25807",2.04,"Very Good","H","SI2",60.8,58,14810,8.14,8.23,4.98
"11507",1.01,"Ideal","F","SI2",60.4,59,5020,6.48,6.51,3.92
"6266",0.87,"Ideal","D","SI2",61.4,54,4012,6.15,6.2,3.79
"46837",0.79,"Very Good","G","SI2",63.4,60,1809,5.83,5.77,3.68
"43099",0.57,"Fair","E","SI1",64.6,59,1383,5.22,5.18,3.36
"35494",0.41,"Very Good","F","SI1",63.3,58,904,4.74,4.71,2.99
"2631",0.74,"Premium","E","VS2",62.7,58,3228,5.77,5.72,3.6
"15117",1.01,"Premium","D","SI1",61.8,58,6075,6.42,6.37,3.95
"51100",0.59,"Ideal","G","VS2",61.9,57,2336,5.41,5.38,3.34
"24785",2.75,"Ideal","D","I1",60.9,57,13156,9.04,8.98,5.49
"37745",0.5,"Premium","D","SI2",62.9,58,997,5.06,5.01,3.17
"46520",0.51,"Ideal","G","VS1",62.7,54,1781,5.1,5.08,3.19
"3023",0.9,"Ideal","I","SI1",60.8,57,3308,6.22,6.25,3.79
"26969",1.71,"Ideal","G","VS1",61.4,57,17049,7.65,7.72,4.72
"14310",1.38,"Ideal","I","SI2",61.8,57,5796,7.14,7.1,4.4
"30220",0.33,"Very Good","E","VS2",62.8,56,723,4.41,4.45,2.78
"45996",0.53,"Very Good","G","VVS2",60.5,59,1724,5.24,5.29,3.19
"15295",1.4,"Ideal","J","SI1",62.7,57,6139,7.13,7.09,4.46
"22093",1.23,"Ideal","G","VVS1",63.2,56,10113,6.78,6.83,4.3
"6299",0.91,"Ideal","I","VS1",61.9,56,4022,6.2,6.23,3.85
"42754",0.56,"Ideal","I","SI1",61.3,56,1343,5.28,5.31,3.25
"15535",1.05,"Very Good","E","SI1",59.7,57,6224,6.63,6.71,3.98
"10595",1.02,"Ideal","E","SI2",61.6,55,4824,6.46,6.52,4
"13470",1.21,"Premium","J","VVS2",61.7,60,5531,6.85,6.82,4.22
"20919",1.49,"Ideal","H","SI1",62.4,56,9132,7.28,7.24,4.53
"52929",0.8,"Very Good","I","VS2",62,54.2,2591,5.94,5.99,3.7
"29208",0.37,"Very Good","H","VS1",59.8,59,695,4.66,4.7,2.8
"26930",1.73,"Premium","G","VS2",62.9,58,16960,7.65,7.58,4.79
"33655",0.41,"Very Good","E","VS1",62.8,56,834,4.72,4.77,2.98
"35928",0.43,"Premium","D","SI2",62.6,58,919,4.82,4.79,3.01
"47115",0.65,"Very Good","G","SI1",62,58,1828,5.5,5.58,3.43
"3312",0.9,"Very Good","D","SI2",58.1,60,3371,6.24,6.26,3.63
"36250",0.41,"Ideal","E","VS2",62,56,935,4.72,4.79,2.95
"15207",1.01,"Premium","G","VS2",58.5,61,6108,6.57,6.52,3.83
"6286",0.97,"Very Good","I","VS2",62.2,55.9,4018,6.34,6.29,3.94
"13790",1,"Very Good","D","SI1",62.2,58,5621,6.34,6.45,3.98
"50817",0.76,"Ideal","J","VS1",61.9,54,2307,5.88,5.84,3.63
"7526",1.01,"Premium","H","SI2",58.8,58,4242,6.62,6.57,3.88
"33109",0.4,"Good","G","VS2",59.6,63,816,4.77,4.81,2.85
"32933",0.41,"Very Good","I","VVS2",61.3,60,811,4.77,4.82,2.94
"39411",0.41,"Ideal","F","VS1",60.6,57,1076,4.84,4.79,2.92
"5458",0.63,"Ideal","D","IF",61.2,53,3832,5.55,5.6,3.41
"25650",2.51,"Premium","H","SI2",60.6,61,14543,8.88,8.68,5.29
"25366",0.28,"Very Good","D","VVS1",60.6,58,642,4.23,4.25,2.57
"52068",0.71,"Very Good","G","VS2",63.5,57,2454,5.61,5.64,3.57
"19733",1.24,"Ideal","H","VS1",62.1,56,8299,6.85,6.88,4.26
"43191",0.55,"Ideal","I","VS2",62.6,57,1393,5.21,5.23,3.27
"47489",0.72,"Ideal","J","SI1",61.9,54,1864,5.76,5.8,3.58
"48897",0.52,"Very Good","G","VVS1",62.3,55,2040,5.13,5.15,3.2
"45101",0.5,"Ideal","H","VVS1",62.5,53,1648,5.09,5.12,3.19
"32414",0.41,"Good","D","SI1",63.1,59,791,4.7,4.71,2.97
"15297",1.2,"Ideal","D","SI2",60.2,57,6140,6.88,6.93,4.16
"48244",0.58,"Ideal","G","VS2",61.1,55,1951,5.42,5.38,3.3
"6303",0.9,"Premium","G","VS2",59.6,61,4022,6.25,6.2,3.71
"7172",0.9,"Fair","F","VS1",66.2,55,4183,6.11,5.97,4
"32152",0.28,"Ideal","F","VVS2",62.6,55,787,4.2,4.23,2.64
"6876",1.01,"Good","J","VS1",60.4,64,4129,6.48,6.44,3.9
"53678",0.71,"Premium","E","VS2",59,59,2711,5.78,5.88,3.44
"43398",0.5,"Very Good","H","VS2",61.2,55,1411,5.12,5.16,3.15
"18119",1.06,"Ideal","F","VS2",62.1,55,7334,6.52,6.55,4.06
"6227",1.02,"Very Good","H","SI2",58.3,61,4004,6.57,6.63,3.85
"23128",1.51,"Premium","G","SI1",62.6,58,11153,7.27,7.3,4.56
"18198",1.57,"Ideal","I","SI2",62.8,57,7385,7.39,7.36,4.63
"52571",0.7,"Ideal","H","VS2",63,55,2536,5.7,5.67,3.58
"11587",1,"Premium","E","SI1",61.2,58,5040,6.39,6.35,3.9
"41165",0.38,"Ideal","F","VVS1",62.2,57,1200,4.64,4.68,2.9
"28891",0.3,"Very Good","G","VVS2",62.3,59,684,4.25,4.29,2.66
"38039",0.39,"Premium","F","VS1",62,56,1010,4.72,4.64,2.9
"51830",0.7,"Ideal","F","SI2",61.4,55,2421,5.73,5.77,3.53
"33292",0.31,"Very Good","D","SI2",62.7,59,462,4.3,4.35,2.71
"41992",0.43,"Premium","G","VVS1",62.2,58,1264,4.83,4.78,2.99
"40263",0.33,"Very Good","G","SI1",61.6,57,492,4.42,4.45,2.73
"8812",1.2,"Very Good","J","SI1",63.1,61,4476,6.66,6.58,4.18
"45806",0.5,"Very Good","F","VS1",62.3,55,1710,5.06,5.09,3.16
"17082",1.32,"Very Good","I","SI1",62.1,57,6810,6.99,7.09,4.37
"27442",2.29,"Very Good","I","SI1",61.8,59,18068,8.44,8.51,5.24
"39132",0.41,"Premium","G","VS2",60.9,61,1061,4.75,4.74,2.89
"41329",0.31,"Ideal","E","IF",63,55,1214,4.34,4.37,2.73
"43193",0.58,"Very Good","G","SI1",63.5,56,1393,5.34,5.28,3.37
"41218",0.7,"Premium","G","I1",62.3,56,1206,5.66,5.61,3.51
"16766",1.31,"Ideal","F","SI2",62.7,57,6676,7.05,6.98,4.4
"45323",0.3,"Very Good","F","VS2",63,55,524,4.28,4.29,2.7
"34769",0.41,"Premium","E","SI2",62.9,58,876,4.75,4.72,2.98
"46186",0.59,"Very Good","E","SI1",61.3,58,1748,5.41,5.45,3.33
"28357",0.27,"Ideal","F","VVS2",61.2,58,667,4.15,4.19,2.55
"5204",1.04,"Premium","D","SI2",58.3,58,3780,6.67,6.63,3.88
"21039",0.31,"Very Good","F","VS2",61.5,56,625,4.34,4.41,2.69
"5365",0.91,"Premium","G","SI1",62.2,57,3816,6.17,6.12,3.82
"2299",0.9,"Good","I","VS2",62.4,65,3162,6.09,6.12,3.81
"5408",1,"Fair","H","VS2",64.8,55,3819,6.35,6.28,4.09
"25283",2.1,"Premium","J","SI1",62.9,58,13930,8.15,8.09,5.11
"46817",0.71,"Premium","G","SI2",59.9,59,1808,5.82,5.79,3.48
"22073",1.31,"Very Good","E","VS2",63.1,56,10094,6.95,6.9,4.37
"39360",0.52,"Premium","F","SI2",62.7,57,1073,5.11,5.07,3.19
"52654",0.72,"Ideal","G","SI1",61.4,54,2548,5.79,5.81,3.56
"22773",1.35,"Ideal","D","VS2",61.3,57,10796,7.13,7.09,4.36
"11830",1.14,"Ideal","I","SI1",60.8,58,5096,6.71,6.74,4.09
"3913",0.78,"Premium","E","VS2",62.8,60,3494,5.86,5.79,3.66
"31682",0.26,"Ideal","E","VVS2",62,56,769,4.13,4.1,2.55
"48487",0.55,"Ideal","F","VS1",61.9,56,1980,5.29,5.25,3.26
"50136",0.72,"Premium","G","SI1",61.2,62,2212,5.75,5.72,3.51
"34479",0.38,"Very Good","E","VS2",60.5,62,866,4.65,4.74,2.84
"30245",0.33,"Ideal","D","VS2",61.7,55,724,4.46,4.48,2.76
"36834",0.3,"Ideal","E","IF",62.2,55,957,4.32,4.36,2.7
"36864",0.39,"Ideal","F","VS1",62.2,56,958,4.63,4.7,2.9
"38640",0.31,"Very Good","H","VS2",62.5,60,489,4.31,4.36,2.71
"36941",0.23,"Very Good","D","VVS1",63.3,57,478,3.9,3.93,2.48
"16744",1.2,"Premium","H","VS2",60.6,58,6666,6.88,6.82,4.15
"26570",2.4,"Ideal","J","SI1",60.6,57,16274,8.62,8.76,5.26
"49462",0.71,"Fair","H","SI1",65.1,56,2112,5.63,5.55,3.64
"22013",1.19,"Ideal","D","VS1",61.1,57,10079,6.84,6.87,4.19
"42182",0.5,"Premium","G","SI1",62.6,56,1286,5.1,5.06,3.18
"24654",1.7,"Premium","H","VS2",62.8,58,12992,7.57,7.52,4.74
"24180",1.74,"Ideal","D","SI2",64.5,56,12361,7.56,7.54,4.87
"48540",0.5,"Premium","F","VVS2",62.7,56,1987,5.08,5.03,3.17
"41062",0.5,"Premium","D","SI2",62.2,58,1190,5.08,5.14,3.18
"40342",0.33,"Ideal","E","IF",61.9,57,1129,4.41,4.45,2.74
"39583",0.37,"Ideal","E","VVS2",62.2,56,1082,4.63,4.6,2.87
"26198",1.7,"Premium","G","VS2",62.6,61,15568,7.64,7.54,4.75
"27588",1.74,"Very Good","F","VS2",62,57,18430,7.65,7.7,4.76
"47194",0.55,"Very Good","G","VVS1",60.8,58,1838,5.25,5.3,3.21
"17085",1.28,"Very Good","D","SI2",61.2,58,6811,6.96,7.09,4.3
"39361",0.52,"Premium","F","SI2",62.7,57,1073,5.11,5.07,3.19
"45636",0.25,"Very Good","G","VVS1",61.8,56,525,4.03,4.06,2.5
"48701",0.54,"Premium","D","VS2",62.2,56,2009,5.27,5.21,3.26
"25224",1.22,"Premium","E","VVS1",61.1,60,13824,6.87,6.85,4.19
"17859",1,"Premium","F","VVS2",61.9,61,7204,6.45,6.32,3.95
"1496",0.7,"Ideal","D","VS2",60.3,60,2991,5.71,5.76,3.46
"18435",1,"Good","D","VS1",57.8,61,7500,6.62,6.56,3.81
"39707",0.46,"Good","I","VVS1",63.5,57,1089,4.85,4.91,3.1
"32345",0.3,"Very Good","G","VVS1",60.6,61,789,4.33,4.35,2.63
"35379",0.41,"Ideal","G","VS1",61.5,56,899,4.77,4.79,2.94
"31551",0.31,"Ideal","D","VS1",60.5,57,766,4.4,4.43,2.67
"50387",0.55,"Ideal","D","VS1",61.3,56,2251,5.28,5.32,3.25
"17423",1.06,"Ideal","D","VS2",62.5,54,6981,6.6,6.53,4.1
"11294",1,"Very Good","H","VS2",60.7,60,4978,6.55,6.49,3.96
"12998",1.05,"Premium","E","SI2",60.3,61,5400,6.62,6.57,3.98
"9555",1,"Very Good","I","VS2",63.5,56,4620,6.33,6.3,4.01
"35790",0.32,"Good","H","VVS1",64.3,58,912,4.33,4.28,2.77
"4128",1,"Good","G","SI2",58.1,65,3541,6.48,6.46,3.76
"32668",0.31,"Premium","G","VS1",61.2,60,802,4.39,4.37,2.68
"49026",0.76,"Premium","J","VS2",59.9,59,2052,5.94,5.92,3.55
"2212",1,"Premium","G","SI2",61.5,56,3142,6.49,6.44,3.97
"1913",0.79,"Very Good","D","SI2",63.2,57,3081,5.81,5.86,3.69
"21483",1.32,"Ideal","G","VS2",61.1,57,9580,7.13,7.07,4.34
"35251",0.3,"Ideal","E","VVS1",61.2,57,895,4.33,4.36,2.66
"45495",0.5,"Ideal","F","VS1",62,55.1,1679,5.05,5.11,3.16
"47241",0.51,"Good","E","VS1",61.3,63,1841,5.11,5.16,3.15
"11568",1,"Very Good","H","SI1",61.5,59,5036,6.35,6.4,3.92
"28831",0.41,"Very Good","H","SI1",60,61,683,4.77,4.83,2.88
"7218",1.01,"Premium","H","SI1",58.8,62,4191,6.59,6.54,3.86
"23818",1.22,"Ideal","F","VVS2",62.7,54,11880,6.79,6.84,4.27
"17449",1.01,"Good","D","VS2",62.1,59,6998,6.28,6.35,3.92
"50692",0.53,"Ideal","F","VS2",61.6,56,2290,5.26,5.23,3.23
"24304",1.51,"Very Good","G","VS2",58.7,63,12551,7.45,7.4,4.36
"42825",0.55,"Premium","F","SI1",62.9,58,1354,5.26,5.23,3.3
"11797",1.03,"Good","D","SI1",60.1,62,5088,6.55,6.53,3.93
"47454",0.53,"Ideal","D","VS2",62.6,56,1857,5.14,5.18,3.23
"40780",0.35,"Ideal","D","VVS1",61.5,57,1167,4.52,4.55,2.79
"22466",2.01,"Very Good","J","SI2",63.3,56,10490,7.86,7.96,5.01
"4348",0.72,"Ideal","E","VS2",61.4,56,3601,5.78,5.8,3.55
"41756",0.57,"Ideal","E","SI2",62.1,55,1244,5.34,5.36,3.32
"25824",1.51,"Ideal","E","VS2",62.8,56,14844,7.31,7.24,4.57
"10453",1.14,"Premium","I","SI1",60.1,60,4788,6.81,6.76,4.08
"8995",1.05,"Premium","G","SI1",59.1,57,4510,6.73,6.63,3.95
"12229",1,"Premium","F","SI1",62.6,60,5197,6.3,6.32,3.95
"52675",0.72,"Premium","G","VS2",61.4,57,2550,5.83,5.77,3.56
"5863",0.88,"Premium","F","VS1",60.7,55,3921,6.28,6.22,3.79
"32925",0.44,"Premium","E","SI1",62.3,59,810,4.84,4.88,3.03
"12284",1.36,"Very Good","J","SI2",62.6,58,5215,7,7.12,4.42
"51877",0.71,"Premium","I","VVS2",61.9,60,2428,5.69,5.75,3.54
"25471",2.02,"Premium","I","VS1",60.5,62,14238,8.18,8.15,4.94
"9088",0.9,"Very Good","D","SI1",63,58,4523,6.11,6.14,3.86
"13354",0.24,"Very Good","E","VS2",63.5,53,419,3.96,3.98,2.52
"15868",1.14,"Ideal","G","SI2",62.3,56,6346,6.66,6.69,4.16
"53633",0.3,"Premium","I","VVS1",61.1,59,552,4.31,4.33,2.64
"15563",1.01,"Premium","G","VS1",59.9,59,6239,6.48,6.51,3.89
"7585",0.93,"Very Good","F","SI1",59.8,58,4256,6.32,6.39,3.8
"50263",0.54,"Ideal","G","VVS1",62.2,56,2236,5.22,5.2,3.24
"14516",1,"Good","G","VS1",64.2,61,5863,6.23,6.29,4.02
"30744",0.43,"Premium","F","SI1",61.7,58,739,4.82,4.84,2.98
"52421",0.78,"Very Good","E","SI2",60,63,2512,5.99,5.95,3.58
"18691",0.32,"Ideal","H","VVS2",61.9,53,619,4.42,4.44,2.74
"4601",1.01,"Premium","J","SI2",61.9,59,3658,6.38,6.34,3.94
"13535",1.31,"Premium","J","SI1",59.4,60,5546,7.12,7.06,4.21
"42271",0.23,"Very Good","E","VVS2",63,58,505,3.95,3.99,2.5
"16847",1,"Premium","E","VS2",60.4,57,6720,6.49,6.46,3.91
"32831",0.33,"Ideal","E","VS1",61.5,54,806,4.46,4.49,2.75
"34976",0.23,"Good","F","VVS1",60.3,66,472,3.93,3.96,2.38
